t_s,V_pu,delta_V_pu,V_initial_pu
5.84,1.0546224025892028,0.0056224025953806045,1.0489999999938222
5.85,1.0546357969929119,0.005635796999089671,1.0489999999938222
5.86,1.0546493543864794,0.005649354392657235,1.0489999999938222
5.87,1.0546630719189798,0.005663071925157581,1.0489999999938222
5.88,1.0546769467597232,0.005676946765901025,1.0489999999938222
5.89,1.0546909761028744,0.005690976109052226,1.0489999999938222
5.9,1.0547051571576287,0.005705157163806485,1.0489999999938222
5.91,1.0547194871550187,0.005719487161196524,1.0489999999938222
5.92,1.0547339633444421,0.0057339633506199306,1.0489999999938222
5.93,1.0547485830000132,0.005748583006190966,1.0489999999938222
5.94,1.0547633434099248,0.005763343416102629,1.0489999999938222
5.95,1.0547782418864133,0.005778241892591129,1.0489999999938222
5.96,1.0547932757601781,0.00579327576635591,1.0489999999938222
5.97,1.0548084423808552,0.0058084423870330415,1.0489999999938222
5.98,1.0548237391188808,0.0058237391250586246,1.0489999999938222
5.99,1.0548391633630865,0.005839163369264266,1.0489999999938222
6.0,1.0548547125265788,0.005854712532756601,1.0489999999938222
6.01,1.054870384036738,0.005870384042915733,1.0489999999938222
6.02,1.05488617534493,0.005886175351107692,1.0489999999938222
6.03,1.0549020839207854,0.005902083926963231,1.0489999999938222
6.04,1.0549181072530427,0.005918107259220484,1.0489999999938222
6.05,1.0549342428511679,0.005934242857345673,1.0489999999938222
6.06,1.0549504882430962,0.005950488249274022,1.0489999999938222
6.07,1.0549668409808717,0.005966840987049471,1.0489999999938222
6.08,1.0549832986301868,0.005983298636364598,1.0489999999938222
6.09,1.0549998587841973,0.005999858790375123,1.0489999999938222
6.1,1.055016519048833,0.006016519055010772,1.0489999999938222
6.11,1.0550332770531798,0.0060332770593576335,1.0489999999938222
6.12,1.055050130445766,0.006050130451943803,1.0489999999938222
6.13,1.0550670768935508,0.0060670768997286295,1.0489999999938222
6.14,1.0550841140884795,0.006084114094657256,1.0489999999938222
6.15,1.0551012397365533,0.006101239742731135,1.0489999999938222
6.16,1.0551184515661785,0.006118451572356243,1.0489999999938222
6.17,1.055135747325261,0.0061357473314387345,1.0489999999938222
6.18,1.0551531247801773,0.006153124786355102,1.0489999999938222
6.19,1.0551705817212509,0.006170581727428681,1.0489999999938222
6.2,1.0551881159545116,0.006188115960689355,1.0489999999938222
6.21,1.0552057253060974,0.0062057253122751455,1.0489999999938222
6.22,1.0552234076252711,0.006223407631448907,1.0489999999938222
6.23,1.0552411607774794,0.006241160783657218,1.0489999999938222
6.24,1.0552589826474488,0.006258982653626566,1.0489999999938222
6.25,1.0552768711438025,0.006276871149980323,1.0489999999938222
6.26,1.0552948241906959,0.006294824196873661,1.0489999999938222
6.27,1.055312839733066,0.006312839739243792,1.0489999999938222
6.28,1.055330915735393,0.006330915741570742,1.0489999999938222
6.29,1.0553490501807365,0.00634905018691434,1.0489999999938222
6.3,1.0553672410739945,0.006367241080172281,1.0489999999938222
6.31,1.0553854864369043,0.006385486443082122,1.0489999999938222
6.32,1.0554037843111568,0.006403784317334571,1.0489999999938222
6.33,1.0554221327575606,0.006422132763738375,1.0489999999938222
6.34,1.0554405298550802,0.006440529861257982,1.0489999999938222
6.35,1.055458973704951,0.0064589737111286905,1.0489999999938222
6.36,1.0554774624239738,0.00647746243015157,1.0489999999938222
6.37,1.055495994147464,0.006495994153641771,1.0489999999938222
6.38,1.0555145670343025,0.006514567040480257,1.0489999999938222
6.39,1.0555331792565361,0.006533179262713906,1.0489999999938222
