t_s,delta_pm_pu,Pm0_pu_sysbase
2.86,0.048475388393113425,1.1175729314683598
2.87,0.04846861444508056,1.1175729314683598
2.88,0.04846202947552407,1.1175729314683598
2.89,0.04845565354306048,1.1175729314683598
2.9,0.048449505765902914,1.1175729314683598
2.91,0.048443604289547665,1.1175729314683598
2.92,0.048437966256512574,1.1175729314683598
2.93,0.04843260777813369,1.1175729314683598
2.94,0.04842754390877178,1.1175729314683598
2.95,0.04842278862242439,1.1175729314683598
2.96,0.048418354792049284,1.1175729314683598
2.97,0.048414254171597906,1.1175729314683598
2.98,0.04841049738104901,1.1175729314683598
2.99,0.04840709389435077,1.1175729314683598
3.0,0.048404052030601656,1.1175729314683598
3.01,0.04840137894832283,1.1175729314683598
3.02,0.048399080643084604,1.1175729314683598
3.03,0.04839716194839168,1.1175729314683598
3.04,0.0483956265398907,1.1175729314683598
3.05,0.04839447694300097,1.1175729314683598
3.06,0.04839371454378125,1.1175729314683598
3.07,0.04839333960321194,1.1175729314683598
3.08,0.04839335127464083,1.1175729314683598
3.09,0.04839374762453743,1.1175729314683598
3.1,0.04839452565627027,1.1175729314683598
3.11,0.048395681337013566,1.1175729314683598
3.12,0.04839720962747849,1.1175729314683598
3.13,0.048399104514527294,1.1175729314683598
3.14,0.04840135904636293,1.1175729314683598
3.15,0.048403965370294746,1.1175729314683598
3.16,0.04840691477277956,1.1175729314683598
3.17,0.048410197721686594,1.1175729314683598
3.18,0.04841380391051698,1.1175729314683598
3.19,0.04841772230441254,1.1175729314683598
3.2,0.048421941187808785,1.1175729314683598
3.21,0.048426448213427564,1.1175729314683598
3.22,0.048431230452520097,1.1175729314683598
3.23,0.04843627444604909,1.1175729314683598
3.24,0.04844156625668809,1.1175729314683598
3.25,0.04844709152135307,1.1175729314683598
3.26,0.048452835504131854,1.1175729314683598
3.27,0.04845878314932961,1.1175729314683598
3.28,0.04846491913450829,1.1175729314683598
3.29,0.04847122792324589,1.1175729314683598
