t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
3.61,1.3329045063146534,-0.04943942260413184,1.3329045063146534,-0.04943942260413184,1.4441418247580304,-0.16978913565301315,0.0,0.0,SG-slack
3.62,1.3327409531600747,-0.04941639482588056,1.3327409531600747,-0.04941639482588056,1.4439782716034517,-0.16976610787476187,0.0,0.0,SG-slack
3.63,1.3325732674421638,-0.04939360545702656,1.3325732674421638,-0.04939360545702656,1.4438105858855408,-0.16974331850590788,0.0,0.0,SG-slack
3.64,1.3324020262272873,-0.049371057026774356,1.3324020262272873,-0.049371057026774356,1.4436393446706643,-0.16972077007565567,0.0,0.0,SG-slack
3.65,1.3322277987218893,-0.04934875090001528,1.3322277987218893,-0.04934875090001528,1.4434651171652664,-0.1696984639488966,0.0,0.0,SG-slack
3.66,1.3320511451092047,-0.04932668731683007,1.3320511451092047,-0.04932668731683007,1.4432884635525818,-0.16967640036571138,0.0,0.0,SG-slack
3.67,1.3318726154405163,-0.04930486543315313,1.3318726154405163,-0.04930486543315313,1.4431099338838933,-0.16965457848203444,0.0,0.0,SG-slack
3.68,1.331692748582935,-0.049283283364845054,1.331692748582935,-0.049283283364845054,1.442930067026312,-0.16963299641372637,0.0,0.0,SG-slack
3.69,1.3315120712218775,-0.04926193823258582,1.3315120712218775,-0.04926193823258582,1.4427493896652546,-0.16961165128146713,0.0,0.0,SG-slack
3.7,1.331331096920348,-0.0492408262090461,1.331331096920348,-0.0492408262090461,1.442568415363725,-0.16959053925792741,0.0,0.0,SG-slack
3.71,1.3311503252326464,-0.049219942567069075,1.3311503252326464,-0.049219942567069075,1.4423876436760235,-0.1695696556159504,0.0,0.0,SG-slack
3.72,1.3309702408747228,-0.04919928172903959,1.3309702408747228,-0.04919928172903959,1.4422075593180999,-0.1695489947779209,0.0,0.0,SG-slack
3.73,1.3307913129483038,-0.049178837317115004,1.3307913129483038,-0.049178837317115004,1.4420286313916808,-0.16952855036599632,0.0,0.0,SG-slack
3.74,1.330613994221059,-0.04915860220398002,1.330613994221059,-0.04915860220398002,1.4418513126644361,-0.16950831525286134,0.0,0.0,SG-slack
3.75,1.3304387204601766,-0.049138568564039864,1.3304387204601766,-0.049138568564039864,1.4416760389035537,-0.16948828161292118,0.0,0.0,SG-slack
3.76,1.3302659098197327,-0.0491187279248988,1.3302659098197327,-0.0491187279248988,1.4415032282631097,-0.1694684409737801,0.0,0.0,SG-slack
3.77,1.3300959622822706,-0.04909907121852111,1.3300959622822706,-0.04909907121852111,1.4413332807256476,-0.16944878426740242,0.0,0.0,SG-slack
3.78,1.3299292591516598,-0.049079588832558085,1.3299292591516598,-0.049079588832558085,1.4411665775950369,-0.1694293018814394,0.0,0.0,SG-slack
3.79,1.3297661625997679,-0.049060270660841065,1.3297661625997679,-0.049060270660841065,1.441003481043145,-0.16940998370972238,0.0,0.0,SG-slack
3.8,1.3296070152629502,-0.04904110615398252,1.3296070152629502,-0.04904110615398252,1.4408443337063273,-0.16939081920286383,0.0,0.0,SG-slack
3.81,1.329452139891174,-0.04902208436835609,1.329452139891174,-0.04902208436835609,1.440689458334551,-0.1693717974172374,0.0,0.0,SG-slack
3.82,1.3293018390456555,-0.049003194015373785,1.3293018390456555,-0.049003194015373785,1.4405391574890325,-0.1693529070642551,0.0,0.0,SG-slack
3.83,1.3291563948478335,-0.04898442350866852,1.3291563948478335,-0.04898442350866852,1.4403937132912106,-0.16933413655754984,0.0,0.0,SG-slack
3.84,1.3290160687755754,-0.048965761011374814,1.3290160687755754,-0.048965761011374814,1.4402533872189525,-0.16931547406025613,0.0,0.0,SG-slack
3.85,1.3288811015093596,-0.04894719448110907,1.3288811015093596,-0.04894719448110907,1.4401184199527366,-0.16929690752999038,0.0,0.0,SG-slack
3.86,1.3287517128242823,-0.048928711714753104,1.3287517128242823,-0.048928711714753104,1.4399890312676593,-0.16927842476363442,0.0,0.0,SG-slack
3.87,1.3286281015305967,-0.04891030039117131,1.3286281015305967,-0.04891030039117131,1.4398654199739738,-0.16926001344005262,0.0,0.0,SG-slack
3.88,1.328510445458686,-0.04889194811308825,1.328510445458686,-0.04889194811308825,1.439747763902063,-0.16924166116196956,0.0,0.0,SG-slack
3.89,1.3283989014909814,-0.04887364244713327,1.3283989014909814,-0.04887364244713327,1.4396362199343584,-0.16922335549601458,0.0,0.0,SG-slack
3.9,1.3282936056374768,-0.048855370962710865,1.3282936056374768,-0.048855370962710865,1.4395309240808538,-0.16920508401159218,0.0,0.0,SG-slack
3.91,1.3281946731549823,-0.04883712126958831,1.3281946731549823,-0.04883712126958831,1.4394319915983593,-0.16918683431846962,0.0,0.0,SG-slack
3.92,1.3281021987104513,-0.048818881053157376,1.3281021987104513,-0.048818881053157376,1.4393395171538284,-0.1691685941020387,0.0,0.0,SG-slack
3.93,1.3280162565847602,-0.04880063810921417,1.3280162565847602,-0.04880063810921417,1.4392535750281372,-0.16915035115809549,0.0,0.0,SG-slack
3.94,1.3279369009194735,-0.048782380376394235,1.3279369009194735,-0.048782380376394235,1.4391742193628505,-0.16913209342527555,0.0,0.0,SG-slack
3.95,1.3278641660025974,-0.04876409596758452,1.3278641660025974,-0.04876409596758452,1.4391014844459744,-0.16911380901646583,0.0,0.0,SG-slack
3.96,1.3277980665936722,-0.048745773199553866,1.3277980665936722,-0.048745773199553866,1.4390353850370492,-0.16909548624843518,0.0,0.0,SG-slack
3.97,1.3277385982883392,-0.04872740062109393,1.3277385982883392,-0.04872740062109393,1.4389759167317162,-0.16907711366997524,0.0,0.0,SG-slack
3.98,1.3276857379182205,-0.048708967039698264,1.3276857379182205,-0.048708967039698264,1.4389230563615976,-0.16905868008857958,0.0,0.0,SG-slack
3.99,1.3276394439886505,-0.048690461546797625,1.3276394439886505,-0.048690461546797625,1.4388767624320276,-0.16904017459567894,0.0,0.0,SG-slack
4.0,1.3275996571494926,-0.04867187354130717,1.3275996571494926,-0.04867187354130717,1.4388369755928696,-0.16902158659018848,0.0,0.0,SG-slack
4.01,1.3275663007011054,-0.048653192752120045,1.3275663007011054,-0.048653192752120045,1.4388036191444824,-0.16900290580100136,0.0,0.0,SG-slack
4.02,1.3275392811309163,-0.04863440925864965,1.3275392811309163,-0.04863440925864965,1.4387765995742934,-0.16898412230753096,0.0,0.0,SG-slack
4.03,1.327518488682228,-0.04861551351049909,1.327518488682228,-0.04861551351049909,1.438755807125605,-0.1689652265593804,0.0,0.0,SG-slack
4.04,1.327503797951144,-0.04859649634537705,1.327503797951144,-0.04859649634537705,1.438741116394521,-0.16894620939425836,0.0,0.0,SG-slack
4.05,1.3274950685119586,-0.04857734900566643,1.3274950685119586,-0.04857734900566643,1.4387323869553357,-0.16892706205454774,0.0,0.0,SG-slack
4.06,1.3274921455687791,-0.04855806315413111,1.3274921455687791,-0.04855806315413111,1.4387294640121562,-0.16890777620301242,0.0,0.0,SG-slack
4.07,1.3274948606308814,-0.04853863088756022,1.3274948606308814,-0.04853863088756022,1.4387321790742584,-0.16888834393644153,0.0,0.0,SG-slack
4.08,1.3275030322120236,-0.048519044749887386,1.3275030322120236,-0.048519044749887386,1.4387403506554006,-0.1688687577987687,0.0,0.0,SG-slack
4.09,1.3275164665495305,-0.0484992977434788,1.3275164665495305,-0.0484992977434788,1.4387537849929075,-0.16884901079236012,0.0,0.0,SG-slack
4.1,1.3275349583436675,-0.04847938333962795,1.3275349583436675,-0.04847938333962795,1.4387722767870446,-0.16882909638850926,0.0,0.0,SG-slack
4.11,1.3275582915132396,-0.04845929548746283,1.3275582915132396,-0.04845929548746283,1.4387956099566166,-0.16880900853634415,0.0,0.0,SG-slack
4.12,1.3275862399672071,-0.04843902862200214,1.3275862399672071,-0.04843902862200214,1.4388235584105842,-0.16878874167088345,0.0,0.0,SG-slack
