t_s,df_hz
2.54,-0.036571526228157084
2.55,-0.03654293819985046
2.56,-0.0365155423943508
2.57,-0.03648939791781412
2.58,-0.036464558966738794
2.59,-0.03644107452698009
2.6,-0.036418988115388906
2.61,-0.036398337564673276
2.62,-0.036379154851608024
2.63,-0.03636146596975252
2.64,-0.03634529084484675
2.65,-0.036330643294039976
2.66,-0.036317531026259654
2.67,-0.036305955683863474
2.68,-0.03629591292307835
2.69,-0.036287392531706104
2.7,-0.03628037858230066
2.71,-0.03627484961781057
2.72,-0.03627077886822063
2.73,-0.036268134494459155
2.74,-0.0362668798577428
2.75,-0.036266973811262336
2.76,-0.03626837101086917
2.77,-0.03627102224263819
2.78,-0.03627487476341586
2.79,-0.03627987265242315
2.8,-0.03628595717017253
2.81,-0.03629306712237033
2.82,-0.036301139225787434
2.83,-0.03631010847368557
2.84,-0.03631990849812409
2.85,-0.0363304719267522
2.86,-0.036341730731917266
2.87,-0.03635361656995617
2.88,-0.03636606110884573
2.89,-0.03637899634246337
2.9,-0.036392354889732074
2.91,-0.03640607027779276
2.92,-0.0364200772072964
2.93,-0.03643431179975631
2.94,-0.036448711825268786
2.95,-0.03646321691087821
2.96,-0.03647776872840142
2.97,-0.0364923111621559
2.98,-0.03650679045614901
2.99,-0.036521155340864524
3.0,-0.03653535714002544
3.01,-0.03654934985780184
3.02,-0.036563090246667894
3.03,-0.036576537856936625
3.04,-0.03658965506862997
3.05,-0.036602407106253454
3.06,-0.03661476203785437
3.07,-0.036626690759078234
3.08,-0.036638166963420635
3.09,-0.03664916709952393
3.1,-0.036659670317286376
3.11,-0.03666965840298648
3.12,-0.03667911570557952
3.13,-0.036688029054574765
3.14,-0.03669638767117329
3.15,-0.03670418307335459
3.16,-0.03671140897640207
3.17,-0.03671806118968327
3.18,-0.036724137510733584
3.19,-0.03672963761785721
3.2,-0.036734562961615494
3.21,-0.03673891665667346
3.22,-0.03674270337432685
3.23,-0.036745929236579454
3.24,-0.03674860171244956
3.25,-0.03675072951706408
3.26,-0.03675232251382974
3.27,-0.03675339162042817
3.28,-0.03675394871870537
3.29,-0.036754006568813856
3.3,-0.036753578727979616
3.31,-0.03675267947368038
3.32,-0.03675132373168444
3.33,-0.03674952700869087
3.34,-0.03674730532967641
3.35,-0.03674467517993387
3.36,-0.036741653451332214
3.37,-0.03673825739309962
3.38,-0.03673450456647127
3.39,-0.03673041280339958
3.4,-0.03672600016849703
3.41,-0.036721284924541825
3.42,-0.03671628550076256
3.43,-0.036711020463929
3.44,-0.0367055084915255
