t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
5.2,0.4376890035633582,0.006187465232236893,1.0941066666696881,0.6564176631063298,0.9993858871662312,10.0
5.21,0.4376891688696813,0.006187630538559982,1.0941079195280283,0.6564187506583471,0.9993858370518977,10.0
5.22,0.43768916670225044,0.006187628371129119,1.094109195537367,0.6564200288351165,0.9993857860115242,10.0
5.23,0.4376890015697185,0.006187463238597248,1.0941104929095007,0.656421491339782,0.9993857341166387,10.0
5.24,0.43768867831636,0.006187139985238685,1.094111809830115,0.6564231315137549,0.9993856814398142,10.0
5.25,0.4376882021023263,0.006186663771204967,1.0941131444640646,0.6564249423617384,0.9993856280544562,10.0
5.26,0.4376875783834707,0.006186040052349423,1.0941144949605803,0.6564269165771096,0.9993855740345955,10.0
5.27,0.4376868128907897,0.006185274559668393,1.0941158594584126,0.6564290465676227,0.9993855194546822,10.0
5.28,0.437685911609544,0.006184373278422707,1.0941172360908684,0.6564313244813246,0.999385464389384,10.0
5.29,0.4376848807581304,0.006183342427009035,1.0941186229907574,0.6564337422326271,0.9993854089133885,10.0
5.3,0.4376837267667627,0.006182188435641421,1.0941200182952269,0.656436291528464,0.9993853531012097,10.0
5.31,0.43768245625602503,0.006180917924903722,1.0941214201504683,0.6564389638944433,0.999385297027,10.0
5.32,0.43768107601535844,0.006179537684237128,1.0941228267163077,0.6564417507009491,0.9993852407643664,10.0
5.33,0.4376795929815371,0.006178054650415782,1.094124236170642,0.6564446431891049,0.9993851843861931,10.0
5.34,0.43767801421720554,0.0061764758860842,1.094125646713751,0.6564476324965456,0.9993851279644688,10.0
5.35,0.437676346889513,0.006174808558391669,1.0941270565724315,0.6564507096829186,0.9993850715701216,10.0
5.36,0.43767459824892285,0.006173059917801561,1.0941284640039863,0.6564538657550635,0.9993850152728593,10.0
5.37,0.4376727756082366,0.006171237277115318,1.094129867300058,0.6564570916918213,0.9993849591410164,10.0
5.38,0.4376708863218898,0.006169347990768477,1.0941312647902612,0.6564603784683715,0.9993849032414084,10.0
5.39,0.4376689377655709,0.006167399434449636,1.0941326548456758,0.6564637170801048,0.9993848476391917,10.0
5.4,0.43766693731620937,0.0061653989850880934,1.0941340358821259,0.6564670985659165,0.9993847923977337,10.0
5.41,0.43766489233238165,0.006163354001260374,1.0941354063632938,0.6564705140309121,0.999384737578487,10.0
5.42,0.43766281013517694,0.006161271804055606,1.0941367648036395,0.6564739546684627,0.9993846832408733,10.0
5.43,0.4376606979895669,0.00615915965844559,1.0941381097711411,0.6564774117815744,0.9993846294421731,10.0
5.44,0.4376585630863173,0.006157024755195976,1.0941394398898148,0.6564808768034974,0.9993845762374263,10.0
5.45,0.43765641252447435,0.006154874193352996,1.0941407538420647,0.6564843413175903,0.9993845236793362,10.0
5.46,0.437654253294475,0.006152714963353668,1.0941420503708337,0.6564877970763587,0.9993844718181853,10.0
5.47,0.4376520922618961,0.0061505539307748006,1.0941433282815383,0.6564912360196421,0.9993844207017573,10.0
5.48,0.43764993615187825,0.006148397820756955,1.0941445864438268,0.6564946502919485,0.9993843703752656,10.0
5.49,0.43764779153425987,0.006146253203138538,1.0941458237931287,0.6564980322588689,0.9993843208812936,10.0
5.5,0.4376456648094318,0.0061441264783105125,1.094147039332,0.6565013745225683,0.9993842722597387,10.0
5.51,0.43764356219494605,0.006142023863824761,1.094148232131297,0.6565046699363509,0.9993842245477669,10.0
5.52,0.437641489712895,0.006139951381773725,1.094149401331116,0.6565079116182211,0.9993841777797742,10.0
5.53,0.4376394531780712,0.006137914846949869,1.0941505461415801,0.6565110929635091,0.9993841319873555,10.0
5.54,0.4376374581869353,0.006135919855813982,1.0941516658434014,0.6565142076564661,0.9993840871992827,10.0
5.55,0.4376355101073904,0.006133971776269053,1.0941527597882759,0.6565172496808855,0.9993840434414877,10.0
5.56,0.43763361406938633,0.00613207573826501,1.0941538273990727,0.6565202133296864,0.9993840007370559,10.0
5.57,0.4376317749563409,0.006130236625219594,1.094154868169866,0.6565230932135252,0.9993839591062241,10.0
5.58,0.43762999739740804,0.0061284590662867245,1.09415588166576,0.6565258842683519,0.9993839185663883,10.0
5.59,0.4376282857605793,0.006126747429458003,1.0941568675225537,0.6565285817619744,0.9993838791321166,10.0
5.6,0.4376266441466104,0.0061251058154890665,1.0941578254462387,0.6565311812996284,0.9993838408151692,10.0
